id,text,classification,rationale,query
2027,"After coming home from his trip to the west coat , John hung the fox on his wall . He could do this because the fox was what ?",B,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",hen house [SEP] painting [SEP] california [SEP] virginia [SEP] blowing the house down
2028,Where is a frisbee in play likely to be ?,E,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 0]",outside [SEP] park [SEP] roof [SEP] tree [SEP] air
2029,"The lady had her specialized looking glasses and gown ready for the evening , she sent her butler to the ticket office of the what ?",E,"[0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",train station [SEP] end of line [SEP] arena [SEP] hero show [SEP] opera house
2030,"The rotor was very loud and moved a lot of air , but it was how the what was able to lift straight up ?",E,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",electric motor [SEP] jet engine [SEP] rotator [SEP] train [SEP] helicopter
2031,Where could you find a policeman that is not stopping cars but that is outside ?,B,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0]",statue [SEP] street [SEP] roadblock [SEP] police station [SEP] donut shop
2032,"After being in a hospital for weeks and breathing fresh air finally , what happened to the released patient ?",C,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",cheer [SEP] relaxation [SEP] feel better [SEP] silence [SEP] coughing
2033,"Horses are big animals that get a lot of exercise . Because he this , they need to do what ?",D,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",run quickly [SEP] pull wagon [SEP] go away [SEP] drink water [SEP] eat carrots
2034,When their engagement has ended what do soldiers get to do ?,E,"[0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1]",use weapons [SEP] follow orders [SEP] die in battle [SEP] hope [SEP] coming home
2035,Where do people eat at dining tables together at work ?,C,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",house [SEP] formal dining room [SEP] cafeteria [SEP] conference room [SEP] doing jigsaw puzzles on
2036,Where is the best place to get furniture from ?,B,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",room [SEP] store [SEP] warehouse [SEP] loft [SEP] rug
2037,Where is a snake unlikely to be welcome ?,C,"[1, 1, 1, 1, 1, 1, 1, 1, 1]",hollow log [SEP] arid climate [SEP] petting zoo [SEP] ocean [SEP] tropical forest
2038,"The weather was nice , but Sean did n't count on that . He knew it could do what ?",C,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",look beautiful [SEP] storm for days [SEP] change quickly [SEP] start raining [SEP] surprise us
2039,"When someone talk , what does someone else usually do to the person talking ?",E,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",do n't interrupt [SEP] sit silently [SEP] keep silent [SEP] be silent [SEP] listening
2040,Many prison movies take place at what famous prison ?,E,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",forest [SEP] city [SEP] countryside [SEP] america [SEP] alcatraz
2041,If someone is hurting someone else what is likely to happen from the police ?,B,"[1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",anger [SEP] punishment [SEP] feel sad [SEP] sadness [SEP] suffering
2042,"The farmer chose plants he could make bird feed from and use of again the next year , he only planted what ?",D,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",raise corn [SEP] seed plants [SEP] grow plants [SEP] seed crops [SEP] farm land
2043,"Even though she implored he reply , what did the recipient of the email do ?",E,"[1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",print the email [SEP] question [SEP] ask [SEP] forward [SEP] ignore
2044,"Bailey saw something scary in the entrance hall , but closer examination showed that it was just a what ?",D,"[0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",bathroom [SEP] palace [SEP] house [SEP] person [SEP] school
2045,What is a person that is able to create art called ?,C,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0]",take class [SEP] thought [SEP] artist [SEP] inspired [SEP] imagine
2046,Where is known for powerful storms from the ocean ?,C,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",rain [SEP] weather report [SEP] tropics [SEP] summer [SEP] america
2047,Where would you first look for your dog ?,B,"[0, 0, 0, 0, 0, 0, 1, 1, 0]",road [SEP] back yard [SEP] neighbor 's house [SEP] porch [SEP] farmyard
2048,"No matter the background of the person , they should all be given what in applying for the job ?",C,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",critical thinking [SEP] congratulated [SEP] equal opportunity [SEP] compliments [SEP] raffle tickets
2049,"The cloth 's are not yet placed where they belong , where should we put them ?",A,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",linen closet [SEP] kitchen [SEP] on the space heater [SEP] fabric store [SEP] bedroom
2050,Where would you find an anemone off the eastern U.S. ?,C,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",game preserve [SEP] intertidal zone [SEP] atlantic ocean [SEP] south pacific [SEP] sea water
2051,"There was a show on television about a ranger who loved flowers , but the next day it was about a gardener who also loved flowers . It was a what ?",B,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]",countryside [SEP] anthology [SEP] dull read [SEP] state park [SEP] surface of earth
2052,"Killing people was n't enough for him , he was out for revenge and wanted to cause them what ?",D,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",anger [SEP] joy [SEP] vengeance [SEP] anguish [SEP] terrible
2053,"Sarah was n't a good person . She was always away , always busy , never there . Her wife wanted her to be more what ?",A,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",available [SEP] come back [SEP] closer [SEP] stay here [SEP] pay debts
2054,"If you wanted to move cargo at a low price and time was n't an issue , what vehicle would you use ?",B,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",train [SEP] boat [SEP] airplane [SEP] ship 's hold [SEP] train
2055,Where would people go if they want to talk to someone ?,E,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0]",opera [SEP] park [SEP] end of line [SEP] bus depot [SEP] neighbor 's house
2056,"She had grown to despise her husband , she though committing murder was the only way to end her what ?",E,"[0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",prosecution [SEP] fear [SEP] distress [SEP] marriage [SEP] misery
2057,What happens at the first opening of a business if it 's not succesful ?,D,"[0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]",making money [SEP] grand opening [SEP] wealth [SEP] lose money [SEP] get rich
2058,Where does a beaver leave ?,B,"[0, 0, 0, 1, 1, 0]",wooded area [SEP] body of water [SEP] the ocean [SEP] british columbia [SEP] zoo
2059,To become great at fiddling you need lots of ?,E,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",knowledge of music [SEP] skill [SEP] candy [SEP] dexterity [SEP] practice
2060,Where does a cast act ?,B,"[0, 0, 0, 1, 1, 0]",perform [SEP] stage [SEP] cast net [SEP] film [SEP] broken leg
2061,"When one is using computers for a long period of time , what might happen to the human body ?",A,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",headache [SEP] addiction [SEP] editing [SEP] falling asleep [SEP] carpal tunnel syndrome
2062,What group of musicians will include someone playing the cello ?,B,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0]",ocean [SEP] symphony [SEP] band [SEP] music store [SEP] music shop
2063,"She was competing , but felt inadequate , what did she apply to improve performance ?",C,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0]",steroids [SEP] anger [SEP] increased effort [SEP] adrenaline rush [SEP] vain thoughts
2064,"The jury determined he was guilty of the crime , and decided that the judge must do what for the victim ?",B,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",conduct trial [SEP] serve justice [SEP] pass sentence [SEP] bring in verdict [SEP] go to war
2065,What is the opposite of ordinary ?,D,"[0, 0, 0, 1, 1, 1, 0]",strange [SEP] special [SEP] unbelievable [SEP] exceptional [SEP] weird
2066,If you need to store old clothes and want to keep moths away you can put them in what large rectangular storage container ?,A,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0]",trunk [SEP] basement [SEP] trash [SEP] trash [SEP] box
2067,What does a server need to be to serve customers well ?,A,"[0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0]",polite [SEP] commercial [SEP] make money [SEP] drivers license [SEP] smile
2068,Where could you find passengers that are planning to travel to another continent ?,E,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0]",car [SEP] bus depot [SEP] bus stop [SEP] library [SEP] airport
2069,What could someone try to prevent by eating breakfast with specific food ?,D,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",dirty dishes [SEP] being satisfied [SEP] indigestion [SEP] bad breath [SEP] eat more
2070,Finding information requires what other than research materials ?,C,"[1, 1, 1, 1, 1, 1, 1, 1, 1]",internet [SEP] ask questions [SEP] time [SEP] searching for [SEP] logic
2071,"If a restaurant want to serve spirits appropriately , what does it likely require ?",E,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",kitchen cupboard [SEP] ghosts [SEP] brewery [SEP] chemistry lab [SEP] restaurant
2072,What could listening to music cause you to be ?,C,"[0, 0, 1, 1, 1, 0, 0, 0, 0, 0]",happy [SEP] smile [SEP] calm [SEP] entertainment [SEP] relaxation
2073,"A bad person places little value on being honest , acting without pretense or being what ?",E,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",excellent [SEP] upright [SEP] premium [SEP] competent [SEP] sincere
2074,What does a town make up a small part of ?,E,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",rural areas [SEP] city [SEP] countryside [SEP] train station [SEP] state
2075,"When a leader has committed crimes against their people , what should they do ?",E,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",rule nation [SEP] die [SEP] direct people [SEP] control population [SEP] step down
2076,Where do people go to see animals ?,C,"[0, 0, 0, 1, 1, 1, 1, 0]",surface of earth [SEP] state park [SEP] zoos [SEP] laboratory [SEP] garden
2077,Where could you see a mammoth that is not real ?,E,"[1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0]",stone age [SEP] ice age [SEP] ancient history [SEP] museum of natural history [SEP] storybook
2078,"When the package failed to deliver due to nobody being home , what did the carrier have to do ?",D,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",receiving [SEP] ship [SEP] keep [SEP] take away [SEP] pick up
2079,"The bald eagle has been a protected species , this is in part due to a dwindling what ?",E,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",nest [SEP] everglades [SEP] high places [SEP] in washington [SEP] natural habitat
2080,"Susan was a mean person . But even so , she could show what ?",C,"[0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",mean cruel [SEP] friendly [SEP] kindness [SEP] nice [SEP] generous
2081,How do people evaluate what to buy at a shop ?,A,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0]",compare prices [SEP] spending of money [SEP] have fun [SEP] splurge [SEP] purchasing
2082,He was eating a roast beef sandwich on his sofa bed and spilled what spicy spicy sauce on it ?,C,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",texas [SEP] guest room [SEP] horseradish [SEP] living room [SEP] basement
2083,When running a business what is the opposite of debt ?,E,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0]",misery [SEP] savings [SEP] surplus [SEP] lend [SEP] profit
2084,"They were trying to explain why the defendant was guilty of obstructing justice , it was their job as the what ?",C,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",riot [SEP] choir [SEP] prosecution [SEP] getting hurt [SEP] committing perjury
2085,Is there a way for people going into trance to see things that do not exist ?,E,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",meditate [SEP] medicated [SEP] confusion [SEP] epilepsy [SEP] hallucination
2086,If you 've been in front of a computer all day and need to have a rest you can do what do relieve strain ?,B,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0]",sit down [SEP] closing eyes [SEP] relax [SEP] sleep [SEP] have dreams
2087,"Two friends wanted to spend a quiet evening together , what did they go see ?",D,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0]",wedding [SEP] friend 's house [SEP] internet cafe [SEP] movie [SEP] restaurant
2088,"She was taken aback by his real personality , what were other past boyfriends like to her ?",C,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",a figment of her imagination [SEP] fictitious [SEP] artificial [SEP] fiction [SEP] imaginary
2089,If someone has a delicious lunch what are they likely to claim ?,E,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0]",become tired [SEP] get sleepy [SEP] feel full [SEP] getting fear [SEP] feeling satisfied
2090,Sometimes the wealth of another country will cause the greed of the leadership to attempt to do what ?,C,"[0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",make friends [SEP] fight unfairly [SEP] conquer opponent [SEP] lie [SEP] play poker
2091,What is the primary reason for visiting a shop ?,C,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",spending of money [SEP] spend too much [SEP] purchasing [SEP] sell items [SEP] compare prices
2092,"People have to eat and drink , breathing is also a key factor in what ?",A,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",living [SEP] warm air [SEP] hyperventilation [SEP] relaxation [SEP] oxygen
2093,"At a university , what sort of building is likely to be called a hall ?",D,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",conference [SEP] small classroom [SEP] large building [SEP] dormitory [SEP] inside
2094,What is inside of a plate while it is flying ?,A,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",air [SEP] taxiway [SEP] pets [SEP] runway [SEP] sky
2095,Where do you park in the parking lot with shopping bags ?,D,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0]",amusement park [SEP] urban area [SEP] airport [SEP] shopping malls [SEP] train station
2096,Where can a lady store a writing instrument while away from home ?,D,"[0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0]",office supply store [SEP] in her shoe [SEP] classroom [SEP] purse [SEP] stationery store
2097,Where would you get a contraceptive if you do not have one ?,A,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",health center [SEP] vagina [SEP] emergency room [SEP] drawer [SEP] medicine cabinet
2098,"As he left he questioned her love , he said if her was true she would what him ?",D,"[0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",paint [SEP] entertain [SEP] draw [SEP] wait for [SEP] please parents
2099,"It was satisfying seeing idea become reality , after years of work he finally could what ?",E,"[0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",laugh [SEP] anxiety [SEP] build [SEP] excitement [SEP] celebrate
2100,Johnny was looking for blowfish in places that were n't near America . Where would he look ?,E,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",fish market [SEP] hawaiian waters [SEP] gulf of mexico [SEP] tropical sea [SEP] south pacific ocean
2101,Mom said that Sarah should stay in bed until she was able to go to school again .. What did mom say to Sarah when she tried to get up ?,A,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",you 're sick [SEP] were sick [SEP] more rest [SEP] rest more [SEP] get back under the covers
2102,"The mom told her son to stay in bed instead of going to school , what did she likely say afterwards ?",E,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",more rest [SEP] rest more [SEP] were sick [SEP] drink water [SEP] you 're sick
2103,"The forgotten leftovers had gotten quite old , he found it covered in mold in the back of his what ?",B,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0]",carpet [SEP] refrigerator [SEP] breadbox [SEP] fridge [SEP] coach
2104,They pulled off to the shoulder of the winding mountain what ?,D,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0]",torso [SEP] garment [SEP] cello [SEP] road [SEP] body
2105,What could happen to you if you are cleaning on the 10th floor of an unfinished building ?,E,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",healthy living [SEP] adventure [SEP] neatness [SEP] getting tired [SEP] injury
2106,"The dog loved to run after ball , it would do it over and over until it would what ?",A,"[0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",get tired [SEP] ball stopped [SEP] fall and hurt yourself [SEP] breathe [SEP] catching
2107,"Bill saw that Lilly was praying . He was n't religious , so he did n't pray himself . He felt that it was just what ?",E,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",good feeling [SEP] relief [SEP] feel safer [SEP] sense of peace [SEP] wasted time
2108,"The competition was to see who would be the last one the drop the object , the hard part was you had to have your arm extended straight out while what the object ?",A,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",holding [SEP] lift up [SEP] pick up [SEP] lifting [SEP] hold onto
2109,What might happen to a person after falling ?,E,"[0, 0, 0, 0, 0, 0, 1, 1, 0]",get up [SEP] receive letters [SEP] cross street [SEP] give gifts [SEP] feel embarrassed
2110,Where would you keep a chair to toss your clothes on before retiring for the evening ?,E,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",airport [SEP] floor [SEP] office [SEP] floor [SEP] bedroom
2111,Dan wondered where those ball bearings came from . Ball bearings are used in what sort of thing ?,D,"[0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",support axial loads [SEP] can [SEP] allow movement [SEP] machines [SEP] church
2112,"James was n't a bad person , but he was bitter do to being trapped in a wheelchair . James which he could be more what ?",D,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",superior [SEP] choice [SEP] worthy [SEP] upright [SEP] grateful
2113,Where would excitement not be allowed ?,C,"[1, 1, 1, 1, 1, 1, 1]",hockey game [SEP] boxing match [SEP] library [SEP] car show [SEP] dance
2114,"Where can a computer user learn geography , math , or history ?",B,"[0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",house [SEP] school [SEP] office building [SEP] computer store [SEP] internet cafe
2115,"The athlete needed cooling off , but after ten seconds in an ice bath he had the what s ?",B,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]",calm down [SEP] chills [SEP] loss of heat [SEP] better decisions [SEP] bloated
2116,"Sam wanted a permanent way to stop the Crimson King from destroying the universe , but the only solution he could find was what ?",E,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",changeable [SEP] sometimes there [SEP] transparent [SEP] transient [SEP] temporary
2117,"If someone committed perjury , but the evidence was taken illegally , what might happen ?",A,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0]",mistrial [SEP] going to jail [SEP] tension [SEP] go to jail [SEP] aquittal
2118,What does someone who likes to hear someone play violin enjoy ?,A,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",like music [SEP] inspiring [SEP] make music [SEP] learn how to play [SEP] ears
2119,Where did people used to go so they could watch a movie in their home ?,E,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",show [SEP] vcr [SEP] ( vcr and plane are in the above answers twice ) [SEP] television [SEP] video store
2120,Where are you if a cow you 've raised gets an award ?,A,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",county fair [SEP] stable [SEP] barnyard [SEP] sheepfold [SEP] farmyard
2121,What is often the result of having lunch too fast ?,C,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",spending money [SEP] sickness [SEP] heartburn [SEP] low blood sugar [SEP] obesity
2122,Where could you put some olives if you want to cook them ?,B,"[0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",jar [SEP] pizza [SEP] refrigerator [SEP] oven [SEP] pressed for thier oil
2123,Where would you get marble if you do not have any ?,D,"[0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0]",opaque [SEP] game [SEP] pawn shop [SEP] store [SEP] pouch
2124,Where would a sofabed be used only for guests ?,E,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",sitting room [SEP] living room [SEP] basement [SEP] dinning roam [SEP] spare room
2125,What is a positive effect of creating art ?,E,"[0, 0, 1, 1, 1, 1, 1, 1, 0]",controversy [SEP] communication [SEP] pleasure [SEP] heart [SEP] pride
2126,"The bird is young and still nesting , what is it likely to do soon ?",E,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0]",spread wings [SEP] learn to fly [SEP] squawk [SEP] swim [SEP] attempt to fly
2127,"The sunshine was quickly burning up the crew , it seemed to not only beat down from about but also from below by reflecting off the what ?",B,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",moon [SEP] sea [SEP] beach [SEP] sun [SEP] desktop
2128,If a politician is poor and does n't take bribes because he wants to serve his constitutions well he is doing it to be what ?,C,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",adequate [SEP] rich [SEP] good [SEP] honest [SEP] poormouth
2129,What would you see if you are looking at people that are agreeing with each other ?,B,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",rapport [SEP] smiles [SEP] band together [SEP] harmony [SEP] tears
2130,What structure had to use a launching platform many times to escape the Earth 's gravity ?,C,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",large open area [SEP] space [SEP] space station [SEP] aircraft carrier [SEP] circus
2131,"The lady had limited time and had to buy many things , where should she go ?",A,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",supermarket [SEP] grocery store [SEP] walmart [SEP] church [SEP] bathroom
2132,"The man passed out from drinking alcohol , what did his brain suffer from ?",D,"[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",get pregnant [SEP] throwing up [SEP] tumor [SEP] toxicity [SEP] frequent urination
2133,"John goes to the booking office and books a flight to a place that is notoriously foggy , where they like tea , and that is ruled by a Queen . Where is John going ?",C,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",airport [SEP] travel agency [SEP] england [SEP] mall [SEP] toilet
2134,What do people break into a brownstone to steal ?,A,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0]",ring [SEP] subdivision [SEP] live in [SEP] new york city [SEP] circlet
2135,"Humans are said to have this thing , but dogs are thought not to have it , What is it ?",A,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",no consciousness [SEP] bones [SEP] tongue hanging out [SEP] pointed ears [SEP] bad breath
2136,"For many kids playing baseball is an American pastime , it brings them great what to play ?",D,"[0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",sore muscles [SEP] injury [SEP] errors [SEP] happiness [SEP] sadness
2137,"The hike was just too early for him , rather than water he put a cup of coffee in his what ?",B,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0]",deli [SEP] canteen [SEP] kitchen [SEP] office [SEP] diner
2138,"She was always falling on the ice in comical ways , what was she growing sick of ?",B,"[0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",hair pulling [SEP] being laughed at [SEP] contact with [SEP] lacerations [SEP] injury
2139,What does a computer have to do before a program can exist ?,C,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",write code [SEP] executable file [SEP] compile [SEP] think logically [SEP] get frustrated
2140,Where would I buy beer if I ran out ?,D,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0]",casino [SEP] fridge [SEP] bottle [SEP] grocery store [SEP] refrigerator
2141,What is the biggest group of people on the east coast where you will find skyscrapers ?,A,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0]",new york city [SEP] big city [SEP] large city [SEP] metropolis [SEP] beach
2142,After the sun has risen what happens at the end of the day ?,E,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",deep dive [SEP] fall [SEP] lower [SEP] below [SEP] sun set
2143,Where would you see a picture created by a professional ?,E,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",wall [SEP] shelf [SEP] on a wall [SEP] desktop [SEP] art show
2144,Where might a runway be trying to escape ?,B,"[0, 0, 0, 1, 1, 1, 1, 1, 0]",city [SEP] military base [SEP] fashion show [SEP] bowling alley [SEP] maze
